t,num_new_requests,frac_requests_fulfilled,frac_traveling_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,num_trip_requests_4,num_cars_region_4,num_charging_cars_region_4,num_trip_requests_5,num_cars_region_5,num_charging_cars_region_5,num_trip_requests_6,num_cars_region_6,num_charging_cars_region_6,num_trip_requests_7,num_cars_region_7,num_charging_cars_region_7,num_trip_requests_8,num_cars_region_8,num_charging_cars_region_8,num_trip_requests_9,num_cars_region_9,num_charging_cars_region_9,trial
0,4.4,1.0,0.054000000000000006,0.0,0.9460000000000001,4.4,0.0,0.0,0.0,0.0,1.0,0.2,9.7,0.0,0.2,9.9,0.0,1.0,9.6,0.0,1.3,9.8,0.0,0.5,10.0,0.0,0.1,10.0,0.0,0.1,10.0,0.0,0.0,10.0,0.0,0.7,10.0,0.0,0.3,10.0,0.0,4.5
1,5.8,1.0,0.11500000000000002,0.0,0.885,5.8,0.0,0.0,0.0,0.0,1.0,0.1,8.9,0.0,0.2,9.4,0.0,0.9,8.7,0.0,1.5,8.8,0.0,0.7,9.5,0.0,0.9,9.9,0.0,0.2,9.9,0.0,0.3,10.0,0.0,0.4,9.5,0.0,0.6,9.7,0.0,4.5
2,5.6,1.0,0.137,0.0,0.8630000000000001,5.6,0.0,0.0,0.0,0.0,1.0,0.1,8.4,0.0,0.2,9.1,0.0,1.2,8.2,0.0,1.0,8.3,0.0,1.2,9.1,0.0,0.3,9.7,0.0,0.4,10.0,0.0,0.4,10.0,0.0,0.3,9.5,0.0,0.5,9.6,0.0,4.5
3,4.7,1.0,0.136,0.0,0.8640000000000001,4.7,0.0,0.0,0.0,0.0,1.0,0.0,8.1,0.0,0.1,8.6,0.0,0.7,7.5,0.0,1.3,8.5,0.0,0.8,8.3,0.0,0.6,10.1,0.0,0.2,9.8,0.0,0.4,10.0,0.0,0.5,9.9,0.0,0.1,10.3,0.0,4.5
4,5.5,1.0,0.143,0.0,0.857,5.5,0.0,0.0,0.0,0.0,1.0,0.0,8.1,0.0,0.3,7.9,0.0,0.9,7.2,0.0,1.5,9.1,0.0,0.6,8.0,0.0,0.8,10.3,0.0,0.2,9.7,0.0,0.1,10.2,0.0,0.6,10.2,0.0,0.5,10.5,0.0,4.5
5,5.5,1.0,0.154,0.0,0.8460000000000001,5.5,0.0,0.0,0.0,0.0,1.0,0.2,7.8,0.0,0.2,7.3,0.0,1.1,6.6,0.0,1.5,9.4,0.0,1.0,8.0,0.0,0.3,10.1,0.0,0.3,9.8,0.0,0.2,10.2,0.0,0.2,10.2,0.0,0.5,10.7,0.0,4.5
6,6.0,1.0,0.168,0.0,0.8320000000000001,6.0,0.0,0.0,0.0,0.0,1.0,0.2,7.2,0.0,0.0,6.9,0.0,1.4,6.2,0.0,0.8,9.2,0.0,1.6,7.5,0.0,0.3,10.5,0.0,0.5,9.8,0.0,0.4,10.3,0.0,0.3,10.5,0.0,0.5,11.0,0.0,4.5
7,6.1,1.0,0.176,0.0,0.8240000000000001,6.1,0.0,0.0,0.0,0.0,1.0,0.0,6.9,0.0,0.1,6.7,0.0,0.9,5.3,0.0,1.5,9.9,0.0,1.2,6.0,0.0,0.3,10.9,0.0,0.6,9.8,0.0,0.1,10.6,0.0,0.7,10.9,0.0,0.7,11.5,0.0,4.5
8,5.2,0.975,0.16799999999999998,0.0,0.8320000000000001,5.0,0.2,0.0,0.0,0.0,1.0,0.1,6.3,0.0,0.5,6.6,0.0,0.7,5.0,0.0,1.3,9.9,0.0,0.3,5.0,0.0,0.7,11.2,0.0,0.5,10.1,0.0,0.5,11.4,0.0,0.6,11.2,0.0,0.0,11.5,0.0,4.5
9,5.5,0.9888888888888889,0.15,0.0,0.85,5.6,0.0,0.1,0.0,0.0,1.0,0.3,5.7,0.0,0.0,6.0,0.0,1.6,5.4,0.0,1.3,9.8,0.0,0.8,5.5,0.0,0.2,11.6,0.0,0.1,10.1,0.0,0.6,11.9,0.0,0.2,11.7,0.0,0.4,12.5,0.0,4.5
10,3.5,1.0,0.14300000000000002,0.0,0.857,3.5,0.0,0.0,0.0,0.0,1.0,0.0,5.4,0.0,0.0,5.8,0.0,0.6,4.4,0.0,0.6,9.9,0.0,0.8,5.1,0.0,0.6,11.7,0.0,0.2,10.2,0.0,0.2,11.6,0.0,0.2,12.1,0.0,0.3,13.0,0.0,4.5
11,4.6,0.9875,0.133,0.0,0.867,4.5,0.1,0.0,0.0,0.0,1.0,0.0,5.5,0.0,0.1,5.5,0.0,0.8,3.8,0.0,0.9,10.7,0.0,1.2,4.7,0.0,0.4,12.1,0.0,0.3,10.3,0.0,0.2,12.2,0.0,0.5,12.5,0.0,0.2,13.8,0.0,4.5
12,1.7,0.96,0.11600000000000002,0.0,0.884,1.6,0.1,0.1,0.0,0.0,1.0,0.0,5.4,0.0,0.0,5.3,0.0,0.0,3.4,0.0,0.4,10.2,0.0,0.1,3.9,0.0,0.5,12.4,0.0,0.1,10.1,0.0,0.1,12.6,0.0,0.4,12.5,0.0,0.1,14.2,0.0,4.5
13,1.6,0.8,0.084,0.0,0.916,1.4,0.2,0.1,0.0,0.0,1.0,0.1,5.2,0.0,0.0,5.5,0.0,0.2,3.8,0.0,0.3,11.3,0.0,0.2,4.2,0.0,0.0,12.4,0.0,0.3,10.1,0.0,0.2,12.9,0.0,0.2,12.9,0.0,0.1,14.7,0.0,4.5
14,2.0,0.9199999999999999,0.076,0.0,0.924,1.8,0.2,0.2,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.5,0.0,0.2,3.7,0.0,0.5,11.7,0.0,0.2,4.1,0.0,0.3,12.4,0.0,0.1,10.1,0.0,0.1,12.7,0.0,0.3,13.4,0.0,0.3,15.6,0.0,4.5
15,2.5,0.9,0.08,0.0,0.9199999999999999,2.5,0.0,0.2,0.0,0.0,1.0,0.1,4.7,0.0,0.0,5.4,0.0,0.2,3.7,0.0,0.6,11.6,0.0,0.3,4.2,0.0,0.4,12.2,0.0,0.2,10.1,0.0,0.2,13.1,0.0,0.4,13.6,0.0,0.1,15.9,0.0,4.5
16,2.3,0.95,0.074,0.0,0.9259999999999999,2.2,0.1,0.0,0.0,0.0,1.0,0.0,4.4,0.0,0.0,5.4,0.0,0.4,4.1,0.0,0.3,11.5,0.0,0.5,4.2,0.0,0.5,12.2,0.0,0.0,9.9,0.0,0.1,13.1,0.0,0.2,14.0,0.0,0.3,16.0,0.0,4.5
17,2.0,1.0,0.077,0.0,0.923,2.1,0.0,0.0,0.0,0.0,1.0,0.0,4.4,0.0,0.0,5.4,0.0,0.4,3.7,0.0,0.3,11.7,0.0,0.5,4.0,0.0,0.1,11.8,0.0,0.1,10.1,0.0,0.1,13.4,0.0,0.3,13.9,0.0,0.2,15.9,0.0,4.5
18,2.0,0.75,0.071,0.0,0.9289999999999999,1.6,0.4,0.0,0.0,0.0,1.0,0.0,4.5,0.0,0.0,5.4,0.0,0.2,3.3,0.0,0.5,11.8,0.0,0.6,3.5,0.0,0.2,12.1,0.0,0.1,10.1,0.0,0.1,13.7,0.0,0.0,14.2,0.0,0.3,15.9,0.0,4.5
19,2.9,0.8113095238095237,0.078,0.0,0.922,2.7,0.2,0.4,0.0,0.0,1.0,0.0,4.5,0.0,0.1,5.3,0.0,0.5,3.3,0.0,0.7,11.6,0.0,0.4,3.4,0.0,0.3,12.4,0.0,0.0,10.2,0.0,0.5,13.7,0.0,0.2,14.6,0.0,0.2,15.9,0.0,4.5
20,2.3,0.7571428571428571,0.062,0.0,0.938,1.7,0.6,0.1,0.0,0.0,1.0,0.0,4.9,0.0,0.0,5.3,0.0,0.6,3.0,0.0,0.4,11.5,0.0,0.6,3.2,0.0,0.3,12.6,0.0,0.0,10.7,0.0,0.2,13.3,0.0,0.1,14.8,0.0,0.1,16.1,0.0,4.5
21,2.3,0.7833333333333333,0.063,0.0,0.937,2.1,0.2,0.6,0.0,0.0,1.0,0.0,4.9,0.0,0.0,5.2,0.0,0.4,3.0,0.0,0.6,11.4,0.0,0.5,3.0,0.0,0.2,12.5,0.0,0.2,11.0,0.0,0.1,13.1,0.0,0.2,15.0,0.0,0.1,16.6,0.0,4.5
22,1.5,0.8,0.062,0.0,0.9380000000000001,1.2,0.4,0.1,0.0,0.0,1.0,0.1,4.9,0.0,0.0,5.2,0.0,0.3,2.4,0.0,0.5,11.0,0.0,0.2,3.0,0.0,0.0,12.8,0.0,0.0,10.9,0.0,0.1,13.0,0.0,0.1,15.0,0.0,0.2,16.7,0.0,4.5
23,2.4,0.7133333333333333,0.05700000000000001,0.0,0.943,2.0,0.4,0.3,0.0,0.0,1.0,0.0,5.0,0.0,0.0,5.2,0.0,0.5,2.2,0.0,0.6,11.1,0.0,0.4,3.1,0.0,0.3,13.0,0.0,0.2,11.2,0.0,0.2,13.6,0.0,0.0,15.3,0.0,0.2,16.6,0.0,4.5
24,1.6,0.75,0.061,0.0,0.9390000000000001,1.2,0.4,0.4,0.0,0.0,1.0,0.0,4.9,0.0,0.0,5.2,0.0,0.5,1.7,0.0,0.3,10.2,0.0,0.2,2.9,0.0,0.0,12.8,0.0,0.2,11.1,0.0,0.0,13.9,0.0,0.3,15.7,0.0,0.1,16.7,0.0,4.5
25,1.1,0.875,0.043,0.0,0.9570000000000001,1.1,0.0,0.3,0.0,0.0,1.0,0.0,4.8,0.0,0.0,5.1,0.0,0.2,1.4,0.0,0.2,11.0,0.0,0.2,3.2,0.0,0.1,13.0,0.0,0.0,11.4,0.0,0.2,14.0,0.0,0.0,15.5,0.0,0.2,17.3,0.0,4.5
26,1.0,0.9,0.041999999999999996,0.0,0.958,0.8,0.2,0.0,0.0,0.0,1.0,0.0,5.2,0.0,0.0,5.1,0.0,0.4,1.2,0.0,0.2,10.4,0.0,0.1,3.1,0.0,0.1,13.0,0.0,0.1,11.5,0.0,0.0,14.1,0.0,0.0,15.7,0.0,0.1,17.3,0.0,4.5
